id_ruta,codigo_ruta,nombre_ruta,recorrido,sistema_ruta,tipo_ruta,empresa,id_gflota,from_date,tipo_actoadmin,numero_actoadmin,anio_actoadmin,estado,fecha_actualizacion
90133,Anillo F2 Carrera 65,Av. Regional - San Diego,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110545,1755182463247,,,,,1755182463247
90251,105,Golondrinas horario nocturno,Origen-Destino,6F,Directa Centro,Cootransmallat,112935,1755182463247,,,,,1755182463247
90134,Anillo F3 Carrera 65,Parque Los Periodistas,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110555,1755182463247,,,,,1755182463247
90135,Anillo 1 Carrera 73,Carabobo - Av. Greiff,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110445,1755182463247,,,,,1755182463247
90136,Anillo 2 Carrera 73,El Hueco - Parque Berrío,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110455,1755182463247,,,,,1755182463247
90137,Anillo 3ah Carrera 73,Alpujarra - Oriental sentido antihorario,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110475,1755182463247,,,,,1755182463247
90140,Anillo F3 Carrera 73,Parque Los Periodistas,Origen-Destino,2B,Directa Centro,Transporte Medellín Castilla,110495,1755182463247,,,,,1755182463247
90172,287,Terminal de Transporte Norte,Origen-Destino,5A,Directa Centro,Autobuses Poblado Laureles,110945,1755182463247,,,,,1755182463247
90074,251,Margaritas,Destino-Origen,2A,Directa Centro,Palenque Robledal,110315,1755182463247,,,,,1755182463247
90140,Anillo F3 Carrera 73,Parque Los Periodistas,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,110495,1755182463247,,,,,1755182463247
90141,170,Belén Las Playas,Origen-Destino,3A,Directa Centro,Cootrabel,110795,1755182463247,,,,,1755182463247
90176,97,Cauces-Quintalinda,Destino-Origen,6A,Directa Centro,Flota la V,112865,1755182463247,,,,,1755182463247
90141,170,Belén Las Playas,Destino-Origen,3A,Directa Centro,Cootrabel,110795,1755182463247,,,,,1755182463247
90183,102,Ávila-Iglesia Cataluña,Destino-Origen,6A,Directa Centro,Cootranscataluña,111126,1755182463247,,,,,1755182463247
90173,96,Buenos Aires,Destino-Origen,6A,Directa Centro,Flota la V,111085,1755182463247,,,,,1755182463247
90174,096 Horario Esp,Buenos Aires,Destino-Origen,6A,Directa Centro,Flota la V,112855,1755182463247,,,,,1755182463247
90175,97,Cauces-Quintalinda,Origen-Destino,6A,Directa Centro,Flota la V,111095,1755182463247,,,,,1755182463247
90175,97,Cauces-Quintalinda,Destino-Origen,6A,Directa Centro,Flota la V,111095,1755182463247,,,,,1755182463247
90176,97,Cauces-Quintalinda,Origen-Destino,6A,Directa Centro,Flota la V,112865,1755182463247,,,,,1755182463247
90179,97,Quintalinda-El Vergel,Origen-Destino,6A,Directa No Centro,Flota la V,111106,1755182463247,,,,,1755182463247
90180,99,Cerros de Quintalinda,Destino-Origen,6A,Directa Centro,Coopcerquin,111115,1755182463247,,,,,1755182463247
90181,099 Horario Esp,Cerros de Quintalinda,Origen-Destino,6A,Directa Centro,Coopcerquin,112875,1755182463247,,,,,1755182463247
90183,102,Ávila-Iglesia Cataluña,Origen-Destino,6A,Directa Centro,Cootranscataluña,111126,1755182463247,,,,,1755182463247
90191,111,El Salvador derecho,Origen-Destino,6A,Directa Centro,Flota la Milagrosa,112895,1755182463247,,,,,1755182463247
90191,111,El Salvador derecho,Destino-Origen,6A,Directa Centro,Flota la Milagrosa,112895,1755182463247,,,,,1755182463247
90217,37 - 39,Hueco,Destino-Origen,6C,Directa Centro,Autocol,121375,1755182463247,,,,,1755182463247
90193,111,El Salvador,Origen-Destino,6A,Directa Centro,Flota la Milagrosa,111155,1755182463247,,,,,1755182463247
90193,111,El Salvador,Destino-Origen,6A,Directa Centro,Flota la Milagrosa,111155,1755182463247,,,,,1755182463247
90197,113B,Ávila,Origen-Destino,6A,Directa Centro,Flota la Milagrosa,111165,1755182463247,,,,,1755182463247
90250,105,Golondrinas horario especial,Destino-Origen,6F,Directa Centro,Cootransmallat,112925,1755182463247,,,,,1755182463247
90199,113,Ávila - Cataluña,Origen-Destino,6A,Directa Centro,Flota la Milagrosa,111176,1755182463247,,,,,1755182463247
90224,51-52 CV-SD,Campo Valdés San Diego,Destino-Origen,6C,Directa Centro,Expreso Campo Valdés,121345,1755182463247,,,,,1755182463247
90199,113,Ávila - Cataluña,Destino-Origen,6A,Directa Centro,Flota la Milagrosa,111176,1755182463247,,,,,1755182463247
90318,242,La Divisa,Destino-Origen,8A,Directa Centro,Coonatra,112135,1755182463247,,,,,1755182463247
90319,242,La Quiebra,Destino-Origen,8A,Directa Centro,Coonatra,112145,1755182463247,,,,,1755182463247
90320,243,La Divisa,Destino-Origen,8A,Directa Centro,Coonatra,112155,1755182463247,,,,,1755182463247
90321,243,La Quiebra,Destino-Origen,8A,Directa Centro,Coonatra,112165,1755182463247,,,,,1755182463247
90202,6,La Francia,Origen-Destino,6B,Directa Centro,Transconor,111215,1755182463247,,,,,1755182463247
90203,22,Santa Cruz - Terminal,Origen-Destino,6B,Directa Centro,Transporte Aranjuez Santa Cruz,111225,1755182463247,,,,,1755182463247
90228,080 V-O,Villa Hermosa - La Mansión-Directa Oriental,Origen-Destino,6D,Directa Centro,Flota Nueva Villa,111415,1755182463247,,,,,1755182463247
90205,23,Popular N° 1,Origen-Destino,6B,Directa Centro,Transporte Aranjuez Santa Cruz,111235,1755182463247,,,,,1755182463247
90220,51-52 CV-C,Campo Valdés Centro,Origen-Destino,6C,Directa Centro,Expreso Campo Valdés,121325,1755182463247,,,,,1755182463247
90206,24,Playón de los Comuneros,Origen-Destino,6B,Directa Centro,Transporte Aranjuez Santa Cruz,111245,1755182463247,,,,,1755182463247
90220,51-52 CV-C,Campo Valdés Centro,Destino-Origen,6C,Directa Centro,Expreso Campo Valdés,121325,1755182463247,,,,,1755182463247
90207,24,Playón de los Comuneros - Oriental,Origen-Destino,6B,Directa Centro,Transporte Aranjuez Santa Cruz,111255,1755182463247,,,,,1755182463247
90222,51-52 CV-F,Campo Valdés Ferrocarril,Origen-Destino,6C,Directa Centro,Expreso Campo Valdés,121355,1755182463247,,,,,1755182463247
90211,42,Aranjuez intermedia,Origen-Destino,6B,Directa Centro,Transporte Aranjuez Santa Cruz,111285,1755182463247,,,,,1755182463247
90222,51-52 CV-F,Campo Valdés Ferrocarril,Destino-Origen,6C,Directa Centro,Expreso Campo Valdés,121355,1755182463247,,,,,1755182463247
90236,57,Bello Oriente,Origen-Destino,6E,Directa Centro,Coopetransa,121495,1755182463247,,,,,1755182463247
90255,106,Tres Esquinas - Minorista,Destino-Origen,6F,Directa Centro,Cootransmallat,111656,1755182463247,,,,,1755182463247
90212,031 P-C,Popular Centro,Origen-Destino,6C,Directa Centro,Expreso Campo Valdés,121305,1755182463247,,,,,1755182463247
90212,031 P-C,Popular Centro,Destino-Origen,6C,Directa Centro,Expreso Campo Valdés,121305,1755182463247,,,,,1755182463247
90108,261i Der,Derecha Castilla - Estación Universidad,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,120702,1755182463247,,,,,1755182463247
90214,031 P-F,Popular Ferrocarril,Origen-Destino,6C,Directa Centro,Expreso Campo Valdés,121315,1755182463247,,,,,1755182463247
90173,96,Buenos Aires,Origen-Destino,6A,Directa Centro,Flota la V,111085,1755182463247,,,,,1755182463247
90174,096 Horario Esp,Buenos Aires,Origen-Destino,6A,Directa Centro,Flota la V,112855,1755182463247,,,,,1755182463247
90214,031 P-F,Popular Ferrocarril,Destino-Origen,6C,Directa Centro,Expreso Campo Valdés,121315,1755182463247,,,,,1755182463247
90109,261i Izq,Izquierda Castilla - Estación Universidad,Origen-Destino,2B,Integrada,Transporte Medellín Castilla,120692,1755182463247,,,,,1755182463247
90099,267,Éxito,Origen-Destino,2A,Directa Centro,Palenque Robledal,110405,1755182463247,,,,,1755182463247
90103,255V,Vereda La Aldea,Origen-Destino,2A,Directa No Centro,Rápido San Cristóbal,112826,1755182463247,,,,,1755182463247
90124,289,Pilarica Calle 96,Destino-Origen,2B,Directa Centro,Transporte Medellín Castilla,110655,1755182463247,,,,,1755182463247
90218,37 - 39,Ferrocarril Minorista,Origen-Destino,6C,Directa Centro,Autocol,121385,1755182463247,,,,,1755182463247
90215,031 P-SD,Popular Centro San Diego,Origen-Destino,6C,Directa Centro,Expreso Campo Valdés,121295,1755182463247,,,,,1755182463247
90250,105,Golondrinas horario especial,Origen-Destino,6F,Directa Centro,Cootransmallat,112925,1755182463247,,,,,1755182463247
90218,37 - 39,Ferrocarril Minorista,Destino-Origen,6C,Directa Centro,Autocol,121385,1755182463247,,,,,1755182463247
